gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,PSC.0149,PSC.0174,PSC.0177,PSC.0186,PSC.0187,PSC.0188,PSC.0190,PSC.0202,PSC.0203,PSC.0209,PSC.0219,PSC.0228,PSC.0230,PSC.0231,uniprotID,geneID,transcript_ID,,,,,,,,
g11431.t1,65.13499334,2.7462961,0.365220161,7.519563256,5.50E-14,3.76E-12,8,6,179,171,24,25,11,160,112,60,119,8,190,18,P55345,ANM2_HUMAN,Phel_contig_4935,,,,,,,,
g11431.t2,22.10986671,3.766148863,1.032441599,3.647808133,0.000264487,0.001566189,0,0,0,39,5,8,0,57,74,48,94,0,40,6,P55345,ANM2_HUMAN,Phel_contig_4935,,,,,,,,
g1146.t1,459.046837,-2.144930237,0.413005978,-5.193460509,2.06E-07,3.18E-06,531,524,256,202,257,446,1063,239,156,157,157,526,318,443,Q9BVH7,SIA7E_HUMAN,Phel_contig_20276,,,,,,,,
g11558.t1,518.1863119,-1.653130492,0.263536961,-6.272860117,3.54E-10,1.11E-08,497,814,396,249,540,464,599,344,266,315,241,916,323,640,Q8K268,ABCF3_MOUSE,Phel_contig_9547,,,,,,,,
g11563.t1,27657.1372,1.531442314,0.381234554,4.017060618,5.89E-05,0.000442526,20691,13926,53112,44159,5642,20011,8328,34079,28179,79568,48461,11090,65675,4063,Q9UGM3,DMBT1_HUMAN,Phel_contig_11488,,,,,,,,
g11563.t1,27657.1372,1.531442314,0.381234554,4.017060618,5.89E-05,0.000442526,20691,13926,53112,44159,5642,20011,8328,34079,28179,79568,48461,11090,65675,4063,Q9UGM3,DMBT1_HUMAN,Phel_contig_1748,,,,,,,,
g11563.t1,27657.1372,1.531442314,0.381234554,4.017060618,5.89E-05,0.000442526,20691,13926,53112,44159,5642,20011,8328,34079,28179,79568,48461,11090,65675,4063,Q9UGM3,DMBT1_HUMAN,Phel_contig_2588,,,,,,,,
g11577.t1,143.8142459,-2.498517111,0.331952219,-7.526737192,5.20E-14,3.59E-12,106,72,50,50,294,313,118,75,50,38,39,242,79,326,O55057,PDE6D_MOUSE,Phel_contig_365,,,,,,,,
g11585.t1,546.375662,-1.36430035,0.256364203,-5.3217272,1.03E-07,1.72E-06,592,563,457,290,495,544,644,362,316,434,327,1058,426,598,P46471,PRS7_MOUSE,Phel_contig_6828,,,,,,,,
g11617.t1,1968.455451,-2.131363071,0.342773345,-6.217995369,5.04E-10,1.50E-08,2286,3524,910,731,1382,1603,3377,838,713,1088,905,2904,1114,2113,Q60855,RIPK1_MOUSE,Phel_contig_8681,,,,,,,,
g11624.t1,77.51653175,-0.978100514,0.38475439,-2.542142567,0.011017522,0.034858876,31,31,32,55,110,99,73,50,48,96,80,167,94,101,P41743,KPCI_HUMAN,Phel_contig_4793,,,,,,,,
g11647.t1,1095.105894,-1.95261645,0.467565054,-4.176138552,2.96E-05,0.000242883,1484,548,553,401,548,798,2079,895,754,402,465,1821,316,1867,Q3ZBG9,PLS2_BOVIN,Phel_contig_1654,,,,,,,,
g11648.t1,3558.595352,-1.196941417,0.316398386,-3.783019986,0.000154937,0.00099928,5069,1657,2117,2398,6684,3684,3070,2956,2289,4622,1619,5205,2330,4081,Q9BXM7,PINK1_HUMAN,Phel_contig_2030,,,,,,,,
g11649.t1,369.9284991,-1.296503786,0.353061171,-3.672178912,0.000240491,0.0014433,187,484,194,227,397,428,482,240,211,177,190,717,756,292,Q9ES00,UBE4B_MOUSE,Phel_contig_17377,,,,,,,,
g11852.t1,1079.833519,-1.799459678,0.379485838,-4.741836181,2.12E-06,2.47E-05,457,2502,886,609,992,998,1103,505,402,591,473,1475,646,1902,Q6NZJ6,IF4G1_MOUSE,Phel_contig_1074,,,,,,,,
g11852.t2,1332.883781,-1.555467686,0.31046087,-5.010189156,5.44E-07,7.38E-06,856,2236,1153,713,2150,1098,1059,521,697,1026,743,1971,867,2242,Q6NZJ6,IF4G1_MOUSE,Phel_contig_1074,,,,,,,,
g11856.t1,113.3133245,1.241791418,0.312186042,3.977728829,6.96E-05,0.000511236,101,76,211,201,29,39,48,191,148,169,202,48,259,40,Q923V4,FBX6_RAT,Phel_contig_6927,,,,,,,,
g11861.t1,726.8820591,-1.278872701,0.13525014,-9.455610908,3.21E-21,7.22E-19,764,685,413,599,1149,844,646,533,463,455,519,1153,731,838,Q8BZ20,PAR12_MOUSE,Phel_contig_12085,,,,,,,,
g11876.t1,678.0022488,-1.786525448,0.289053215,-6.180610892,6.39E-10,1.87E-08,996,878,374,389,575,624,927,406,325,177,384,1005,656,825,Q90687,PTN11_CHICK,Phel_contig_7362,,,,,,,,
g11907.t1,1537.617569,-3.217725653,0.498890969,-6.449757272,1.12E-10,3.95E-09,1155,915,396,225,2566,2261,2426,188,441,853,147,2577,174,3621,A1Z6E0,GUS_DROME,Phel_contig_148,,,,,,,,
g11911.t2,1384.124155,-1.92699697,0.781092318,-2.467054054,0.013622979,0.041229451,1202,1837,1014,640,498,1119,2591,1115,417,0,729,2029,1254,2139,Q66T02,PKHG5_MOUSE,Phel_contig_812,,,,,,,,
g11917.t1,1836.336693,-4.170503473,0.576323907,-7.236388113,4.61E-13,2.63E-11,1657,1634,237,33,1333,1282,4152,118,140,572,226,4109,306,4109,O88281,MEGF6_RAT,Phel_contig_22525,,,,,,,,
g11917.t1,1836.336693,-4.170503473,0.576323907,-7.236388113,4.61E-13,2.63E-11,1657,1634,237,33,1333,1282,4152,118,140,572,226,4109,306,4109,O88281,MEGF6_RAT,Phel_contig_6239,,,,,,,,
g11937.t1,30.32176484,1.148844218,0.356775191,3.220078768,0.001281554,0.005806704,35,16,37,53,24,17,3,46,74,53,39,14,59,8,Q6P8M1,TATD1_MOUSE,Phel_contig_19540,,,,,,,,
g12032.t1,169.0070831,-2.280035652,0.9260343,-2.462150325,0.013810677,0.04164973,5,2,112,50,147,1024,17,35,35,51,59,36,181,542,Q55E72,PKS1_DICDI,Phel_contig_324,,,,,,,,
g12032.t1,169.0070831,-2.280035652,0.9260343,-2.462150325,0.013810677,0.04164973,5,2,112,50,147,1024,17,35,35,51,59,36,181,542,Q55E72,PKS1_DICDI,Phel_contig_406,,,,,,,,
g12037.t1,495.8327578,-0.601734547,0.244431392,-2.461772774,0.013825222,0.041687454,539,639,397,360,400,440,385,532,385,714,485,696,489,380,P54714,TPIS_CANLF,Phel_contig_7888,,,,,,,,
g12145.t1,1984.941209,-3.924108732,0.602810238,-6.509691579,7.53E-11,2.76E-09,2303,3894,352,254,940,834,5962,413,284,31,347,1934,499,2003,Q6KAR6,EXOC3_MOUSE,Phel_contig_2379,,,,,,,,
g12145.t2,672.7958545,-3.225693634,0.886952362,-3.636828506,0.000276016,0.001623654,768,520,321,39,1023,960,1441,25,0,524,29,1740,106,306,Q6KAR6,EXOC3_MOUSE,Phel_contig_2379,,,,,,,,
g12149.t1,64.03478944,2.854509835,0.403676628,7.07127844,1.54E-12,7.90E-11,11,32,132,154,11,14,2,103,93,125,154,24,235,3,Q91Z92,B3GT6_MOUSE,Phel_contig_4963,,,,,,,,
g12150.t1,22.82691544,2.609061169,0.481537567,5.41818821,6.02E-08,1.07E-06,11,8,46,25,5,5,4,37,33,90,48,5,53,0,Q91Z92,B3GT6_MOUSE,Phel_contig_4963,,,,,,,,
g12218.t1,564.9357037,-2.544893126,0.45698549,-5.56887075,2.56E-08,5.01E-07,448,394,183,120,308,551,1027,252,280,248,112,890,214,1474,Q9TUG2,SKI_HORSE,Phel_contig_2254,,,,,,,,
g12233.t1,87.30058818,-5.814729816,1.197931382,-4.853975698,1.21E-06,1.50E-05,1,1,8,0,286,307,1,2,4,0,9,38,2,436,Q8BGC3,MOT12_MOUSE,Phel_contig_25452,,,,,,,,
g12243.t1,642.2930582,-1.214420924,0.337808116,-3.595002214,0.000324389,0.001848789,617,498,490,520,375,513,829,598,412,303,407,901,662,1159,Q5ZIJ9,MIB2_CHICK,Phel_contig_2495,,,,,,,,
g12302.t1,4273.587605,-6.014356646,0.404024923,-14.88610309,4.06E-50,2.77E-46,5026,3500,169,103,2675,5402,9092,233,121,132,191,9668,175,9831,Q8K4C0,FMO5_RAT,Phel_contig_282,,,,,,,,
g12306.t1,43.49653624,-5.422530856,1.096946217,-4.94329692,7.68E-07,1.00E-05,1,6,7,0,95,155,6,0,0,3,5,28,1,228,Q8JG30,ST1B1_CHICK,Phel_contig_6433,,,,,,,,
g12329.t1,15.2739803,-2.414736686,0.834512095,-2.893590999,0.003808639,0.014491943,65,14,2,3,2,29,21,8,8,14,0,13,6,1,Q96DM1,PGBD4_HUMAN,Phel_contig_20850,,,,,,,,
g12329.t1,15.2739803,-2.414736686,0.834512095,-2.893590999,0.003808639,0.014491943,65,14,2,3,2,29,21,8,8,14,0,13,6,1,Q96DM1,PGBD4_HUMAN,Phel_contig_24842,,,,,,,,
g12331.t1,1094.732692,-1.544467394,0.386937247,-3.991519054,6.57E-05,0.000485882,532,2088,396,1284,1309,1414,1063,1067,446,387,557,821,823,1940,Q5ZIJ9,MIB2_CHICK,Phel_contig_2495,,,,,,,,
g12401.t1,78.02581649,-2.346383011,0.555456652,-4.224241449,2.40E-05,0.000201224,33,179,29,34,168,326,23,51,30,13,8,47,70,53,P10160,IF5A1_RABIT,Phel_contig_998,,,,,,,,
g12473.t1,1045.862422,-1.48027421,0.402036884,-3.681936333,0.000231469,0.001398998,1612,869,734,437,390,728,1368,1115,637,643,543,1695,611,1776,Q9W735,PRM1A_DANRE,Phel_contig_12958,,,,,,,,
g12607.t1,659.7874932,-2.030255279,0.388962399,-5.21966978,1.79E-07,2.82E-06,986,308,441,181,2366,1013,362,192,190,360,409,779,462,831,Q9W735,PRM1A_DANRE,Phel_contig_12958,,,,,,,,
g12608.t1,321.1891943,-2.075851094,0.365178954,-5.684476262,1.31E-08,2.74E-07,475,144,200,92,1152,453,217,141,84,158,173,392,221,388,Q9W735,PRM1A_DANRE,Phel_contig_12958,,,,,,,,
g12704.t1,591.0391079,2.366525909,0.39613735,5.974003491,2.32E-09,5.89E-08,388,100,907,1141,78,256,123,1325,868,1686,1176,95,1460,75,Q9NYB5,SO1C1_HUMAN,Phel_contig_10782,,,,,,,,
g12704.t1,591.0391079,2.366525909,0.39613735,5.974003491,2.32E-09,5.89E-08,388,100,907,1141,78,256,123,1325,868,1686,1176,95,1460,75,Q9NYB5,SO1C1_HUMAN,Phel_contig_12918,,,,,,,,
g12712.t1,791.2443724,-0.825806009,0.210664829,-3.919999427,8.85E-05,0.00062399,996,848,568,542,958,834,647,926,455,933,676,1131,847,550,Q5EAJ7,MVP_STRPU,Phel_contig_3421,,,,,,,,
g12736.t1,682.9517929,-1.508755728,0.23230224,-6.494796294,8.31E-11,3.01E-09,808,918,607,329,925,882,716,325,313,439,503,958,516,642,Q5ZJK8,TCPH_CHICK,Phel_contig_9208,,,,,,,,
g12898.t1,156.3532933,-1.400005459,0.271721609,-5.152352312,2.57E-07,3.85E-06,136,119,146,84,165,207,161,103,93,70,85,266,170,255,Q504G0,TM127_DANRE,Phel_contig_2682,,,,,,,,
g12907.t1,2885.571724,-7.407609953,0.585327078,-12.65550533,1.04E-36,1.19E-33,1779,1734,60,8,1410,3507,6505,47,55,29,24,3828,72,10654,Q9VGY6,SKEL1_DROME,Phel_contig_433,,,,,,,,
g12908.t1,1844.19255,-5.074002263,0.749514926,-6.769714765,1.29E-11,5.54E-10,4272,351,266,16,2360,5946,2195,85,178,192,27,7320,105,85,Q9BUD6,SPON2_HUMAN,Phel_contig_2739,,,,,,,,
g12908.t2,716.9932008,-5.267708427,0.76707178,-6.867295295,6.54E-12,3.02E-10,2143,123,137,10,1124,2189,475,23,47,48,11,3021,10,71,Q9BUD6,SPON2_HUMAN,Phel_contig_2739,,,,,,,,
g12911.t1,165.0819391,-3.014639911,0.777224151,-3.8787265,0.000105005,0.000715563,35,8,22,17,1370,142,64,39,25,23,92,285,118,91,Q9VGY6,SKEL1_DROME,Phel_contig_433,,,,,,,,
g12914.t1,163.2157405,-1.050098287,0.231616922,-4.533771866,5.79E-06,5.89E-05,163,184,111,115,157,161,140,189,145,84,139,326,134,167,P55036,PSMD4_HUMAN,Phel_contig_2339,,,,,,,,
g12930.t1,802.3677481,-2.300910793,0.312742943,-7.357194917,1.88E-13,1.14E-11,912,451,243,337,1457,1361,1133,232,208,343,428,981,617,1270,Q8IUR6,CRERF_HUMAN,Phel_contig_4397,,,,,,,,
g12943.t1,2428.323689,0.793859124,0.307946494,2.577912529,0.009939916,0.032054192,777,1348,2341,4636,1420,3326,1246,3967,2720,4722,3609,1128,4897,1142,Q98TX3,PDCD4_CHICK,Phel_contig_3233,,,,,,,,
g13000.t1,7.19007106,-2.477587807,0.846044697,-2.928436068,0.003406719,0.01323822,4,1,1,2,32,9,4,7,5,0,0,29,5,3,A4IF63,TRIM2_BOVIN,Phel_contig_5382,,,,,,,,
g13001.t1,2284.82009,-2.70431501,0.436412184,-6.196699152,5.77E-10,1.70E-08,3347,1043,1170,525,1386,2648,3775,467,632,934,599,3896,794,5428,Q61824,ADA12_MOUSE,Phel_contig_1112,,,,,,,,
g13001.t2,329.591206,-1.931766218,0.541626747,-3.566600486,0.000361642,0.002020518,284,107,102,45,223,381,524,194,96,431,94,696,209,657,Q61824,ADA12_MOUSE,Phel_contig_1112,,,,,,,,
g13004.t1,59.52739112,1.296693968,0.42287658,3.066365059,0.002166786,0.009057846,12,7,83,119,61,27,16,132,61,74,113,23,173,59,Q5MJS3,FA20C_MOUSE,Phel_contig_5602,,,,,,,,
g13041.t1,270.3825832,-1.129843395,0.31207685,-3.620401181,0.000294147,0.001707954,397,387,362,168,188,239,233,175,132,193,191,338,215,338,Q969X5,ERGI1_HUMAN,Phel_contig_367,,,,,,,,
g13042.t1,165.979574,-4.802997867,0.695203753,-6.90876286,4.89E-12,2.28E-10,3,190,7,15,122,167,441,8,22,22,10,409,13,320,Q62767,DUS4_RAT,Phel_contig_16985,,,,,,,,
g13047.t1,25.79405918,1.559634465,0.440910605,3.537303137,0.000404235,0.002215556,16,11,23,88,22,15,1,66,38,18,36,15,83,4,Q8BGZ4,CDC23_MOUSE,Phel_contig_386,,,,,,,,
g13051.t1,368.6092847,1.46012477,0.433614453,3.367334186,0.000758987,0.003740385,459,211,865,770,107,137,96,530,604,370,635,89,926,49,O76093,FGF18_HUMAN,Phel_contig_3622,,,,,,,,
g13083.t1,185.7053485,1.144161745,0.242272773,4.722617944,2.33E-06,2.69E-05,65,629,288,378,120,129,60,421,289,195,281,83,379,72,Q29RH4,THOC3_BOVIN,Phel_contig_2528,,,,,,,,
g13103.t1,190.2101202,1.630205994,0.246748469,6.60675221,3.93E-11,1.52E-09,109,100,257,416,84,104,44,490,297,218,352,89,519,31,Q4KM79,DUS11_RAT,Phel_contig_401,,,,,,,,
g13120.t1,4765.924546,-7.112655286,0.549164324,-12.9517796,2.30E-38,3.13E-35,4995,1859,200,18,5482,5530,6385,84,73,82,45,13224,61,16616,P96202,PPSC_MYCTU,Phel_contig_18,,,,,,,,
g13125.t1,442.549688,-1.468541785,0.386333436,-3.801228806,0.00014398,0.000938968,618,300,375,233,251,344,702,325,295,209,253,465,323,753,Q8BJ03,COX15_MOUSE,Phel_contig_13686,,,,,,,,
g13143.t1,409.483974,3.526220524,0.401847262,8.775026867,1.71E-18,2.57E-16,81,82,551,1415,67,48,51,1066,669,1342,621,25,809,17,Q28FF3,S49A3_XENTR,Phel_contig_13974,,,,,,,,
g13145.t1,35.12662859,4.016226878,0.665705379,6.033039551,1.61E-09,4.28E-08,0,8,49,87,14,3,0,130,60,96,58,1,102,0,P08594,AQL1_THEAQ,Phel_contig_25210,,,,,,,,
