geneID	geneName
g3699.t1	GABR1_HUMAN
g3704.t1	LRP4_HUMAN
g3704.t1	LRP4_HUMAN
g3704.t1	LRP4_HUMAN
g3704.t1	LRP4_HUMAN
g3704.t2	LRP4_HUMAN
g3704.t2	LRP4_HUMAN
g3704.t2	LRP4_HUMAN
g3704.t2	LRP4_HUMAN
g3705.t1	LRP4_RAT
g3705.t1	LRP4_RAT
g3705.t1	LRP4_RAT
g3705.t1	LRP4_RAT
g3706.t1	LRP4_RAT
g3706.t1	LRP4_RAT
g3706.t1	LRP4_RAT
g3706.t1	LRP4_RAT
g3707.t1	WDR27_HUMAN
g3710.t1	CCD15_HUMAN
g3711.t1	TSP1_HUMAN
g3713.t1	THNS2_PONAB
g3724.t1	G2E3_HUMAN
g3728.t1	CBPQ_XENLA
g3729.t1	ALKB1_MOUSE
g3730.t1	SLIRP_MOUSE
g3731.t1	SNW1_PONAB
g3732.t1	DMBT1_RABIT
g3732.t1	DMBT1_RABIT
g3732.t1	DMBT1_RABIT
g3732.t1	DMBT1_RABIT
g3734.t1	DMBT1_RABIT
g3734.t1	DMBT1_RABIT
g3734.t1	DMBT1_RABIT
g3734.t1	DMBT1_RABIT
g3735.t1	LG3BP_HUMAN
g3736.t1	DMBT1_RABIT
g3736.t1	DMBT1_RABIT
g3736.t1	DMBT1_RABIT
g3736.t1	DMBT1_RABIT
g3737.t1	DMBT1_RABIT
g3737.t1	DMBT1_RABIT
g3737.t1	DMBT1_RABIT
g3738.t1	DMBT1_RABIT
g3738.t1	DMBT1_RABIT
g3738.t1	DMBT1_RABIT
g3739.t1	DMBT1_RABIT
g3739.t1	DMBT1_RABIT
g3739.t1	DMBT1_RABIT
g3740.t1	ADCK1_MOUSE
g3741.t1	ARL2_HUMAN
g3742.t1	MTA1_MOUSE
g3743.t1	P2R3C_BOVIN
g3744.t1	MRPP3_MACFA
g3745.t1	S35B2_MOUSE
g3745.t2	S35B2_MOUSE
g3747.t1	YR571_MIMIV
g3748.t1	DPOE2_BOVIN
g3749.t1	AMNLS_HUMAN
g3750.t1	SRP14_PONAB
g3751.t1	SAE1_XENLA
g3752.t1	GANAB_PIG
g3755.t1	PKHH2_HUMAN
g3756.t1	PKHH1_HUMAN
g3758.t1	CP2U1_HUMAN
g3759.t1	TTC8_HUMAN
g3760.t1	LIPR2_RAT
g3761.t1	LIPP_MYOCO
g3761.t1	LIPP_MYOCO
g3762.t1	DYL2_RAT
g3764.t1	DYL2_RAT
g3765.t1	DYL2_RAT
g3766.t1	DYL2_RAT
g3767.t1	NAA40_DANRE
g3768.t1	PUA1A_XENLA
g3770.t1	EFC11_MOUSE
g3771.t1	FBX11_MOUSE
g3771.t2	FBX11_MOUSE
g3771.t3	FBX11_MOUSE
g3774.t1	IF43B_SALSA
g3775.t1	XYNB_NEOPA
g3775.t1	XYNB_NEOPA
g3775.t1	XYNB_NEOPA
g3775.t1	XYNB_NEOPA
g3775.t1	XYNB_NEOPA
g3775.t1	XYNB_NEOPA
g3775.t1	XYNB_NEOPA
g3775.t1	XYNB_NEOPA
g3775.t1	XYNB_NEOPA
g3776.t1	ARSA_MOUSE
g3777.t1	SPT17_MOUSE
g3780.t1	ATG2B_MOUSE
g3783.t1	ARP10_BOVIN
g3784.t1	ARP10_MOUSE
g3785.t1	CIROP_XENLA
g3787.t1	RBSK_HUMAN
g3788.t2	YI31B_YEAST
g3793.t1	PAPOG_MOUSE
g3794.t1	XPO5_HUMAN
g3798.t1	XPO5_MOUSE
g3801.t1	HARB1_BOVIN
g3802.t1	DC2L1_BOVIN
g3804.t1	CLHC1_MACFA
g3806.t1	LRRC9_XENTR
g3810.t1	FUT8_XENTR
g3811.t1	SRP54_DANRE
g3812.t1	ENTP5_RAT
g3814.t1	SNX6_PONAB
g3818.t1	SC6A6_RAT
g3823.t1	FACE2_HUMAN
g3824.t1	TXD16_HUMAN
g3825.t1	SYSM_MOUSE
g3826.t1	CALM_HALOK
g3828.t1	CK068_DANRE
g3829.t1	CK068_DANRE
g3830.t1	CK068_DANRE
g3831.t1	SCPDL_PONAB
g3833.t1	NOVA1_MACFA
g3833.t1	NOVA1_MACFA
g3834.t1	SPTB2_MOUSE
g3834.t1	SPTB2_MOUSE
g3835.t1	VPS39_HUMAN
g3836.t1	VPS39_HUMAN
g3837.t1	DHRS7_MOUSE
g3838.t1	PCX4_XENLA
g3839.t1	COX16_MOUSE
g3841.t1	IF5_MOUSE
g3842.t1	SYMPK_HUMAN
g3843.t1	MARC2_RAT
g3844.t1	MARC1_HUMAN
g3845.t1	MEGL_FUSNP
g3847.t1	PGBD4_HUMAN
g3849.t1	T229B_XENTR
g3855.t1	KI16B_HUMAN
g3856.t1	YIF1B_DANRE
g3857.t1	GNPAT_BOVIN
g3858.t1	FOXN3_PIG
g3859.t1	TM223_DANRE
g3860.t1	PPR21_CHICK
g3861.t1	CTRB_BOVIN
g3862.t1	CTRB_BOVIN
g3864.t1	CDKAL_HUMAN
g3866.t1	BTBDA_MOUSE
g3867.t1	LDHA_RAT
g3867.t2	LDHBA_DANRE
g3867.t3	LDHA_MOUSE
g3871.t1	P3_MOUSE
g3873.t1	CNTP2_PONAB
g3877.t1	TPC6B_DANRE
g3878.t1	PININ_PONAB
g3879.t1	ACTMP_XENTR
g3881.t1	SLP2_DROME
g3882.t1	FA5_HUMAN
g3882.t1	FA5_HUMAN
g3882.t1	FA5_HUMAN
g3883.t1	BHMT1_XENTR
g3884.t1	BHMT2_PONAB
g3890.t1	PAHX_RAT
g3891.t1	SENJU_DROME
g3893.t1	CLSPN_MOUSE
g3894.t1	S38A6_MOUSE
g3895.t1	S38A6_XENTR
g3896.t1	TRM5_XENTR
g3897.t1	MAT1_MARGL
g3899.t1	GLT16_MOUSE
g3899.t2	GLT16_MOUSE
g3899.t3	GLT16_MOUSE
g3901.t1	WDR20_HUMAN
g3902.t1	PALS1_RAT
g3902.t2	PALS1_RAT
g3904.t1	TBCB_MOUSE
g3905.t1	STRN3_BOVIN
g3906.t1	AP4S_ARATH
g3907.t1	TBCE_DANRE
g3907.t2	TBCE_DANRE
g3907.t3	TBCE_DANRE
g3908.t1	FA98A_RAT
g3909.t1	BHMT1_XENTR
g3910.t1	BHMT1_PIG
g3911.t1	SC23A_DANRE
g3911.t1	SC23A_DANRE
g3912.t1	SC23A_MOUSE
g3918.t1	ADAT3_DANRE
g3918.t1	ADAT3_DANRE
g3919.t1	LYST_BOVIN
g3919.t1	LYST_BOVIN
g3919.t1	LYST_BOVIN
g3919.t1	LYST_BOVIN
g3920.t1	STIP1_MACFA
g3921.t1	HSOP2_ARATH
g3921.t2	HSOP2_ARATH
g3922.t1	ODBA_PANTR
g3925.t1	LEG8_HUMAN
g3925.t1	LEG8_HUMAN
g3926.t1	PARP1_DANRE
g3927.t1	SAM15_MOUSE
g3928.t1	GCP60_HUMAN
g3928.t1	GCP60_HUMAN
g3934.t1	KNTC1_HUMAN
g3935.t1	KNTC1_HUMAN
g3936.t1	EGLN1_MOUSE
g3940.t1	FOXA2_XENTR
g3942.t1	MIPO1_HUMAN
g3943.t1	ODC_PONAB
g3945.t1	PAX1_CHICK
g3947.t1	CNGA2_RABIT
g3947.t2	CNGA2_RABIT
g3950.t1	NKX22_MOUSE
g3953.t1	XRN2_HUMAN
g3954.t1	NKX21_HUMAN
g3961.t1	NU133_MOUSE
g3963.t1	RDH7_RAT
g3966.t1	NAA80_HUMAN
g3967.t1	ARMT1_DANRE
g3968.t1	CHAC2_DANRE
g3970.t1	CN119_HUMAN
g3974.t1	GALT7_MOUSE
g3975.t1	GALT7_CAEEL
g3976.t1	CP2DF_CANLF
g3976.t2	CP2D3_RAT
g3978.t1	BP10_PARLI
g3980.t1	NUMB_RAT
g3981.t1	KLDC3_BOVIN
g3982.t1	NINL_DANRE
g3982.t2	NINL_DANRE
g3985.t1	RLGPB_HUMAN
g3985.t2	RLGPB_HUMAN
g3985.t3	RLGPB_HUMAN
g3986.t1	RLGPB_MOUSE
g3987.t1	SOX_HUMAN
g3988.t1	ABCC9_HUMAN
g3990.t1	ABCC8_RAT
g3993.t1	HTR5B_XENTR
g3994.t1	ZFPL1_XENTR
g4000.t1	PUS10_HUMAN
g4001.t1	AQP8_NOTAL
g4005.t1	NUSAP_XENTR
g4010.t1	SELN_XENTR
g4010.t1	SELN_XENTR
g4010.t1	SELN_XENTR
g4012.t1	AP4M1_HUMAN
g4014.t1	MDHC_PIG
g4015.t1	UGPA_BOVIN
g4017.t1	YPEL5_MACFA
g4019.t1	ARG33_MOUSE
g4020.t1	SDCG8_MOUSE
g4021.t1	TF65_XENLA
g4022.t1	UN112_DROME
g4023.t2	RTXE_DROME
g4023.t2	RTXE_DROME
g4025.t1	AIDA_DANRE
g4026.t1	CANB_DROME
g4027.t1	SCRB1_PIG
g4028.t1	SCRB1_PIG
g4030.t1	CS047_HUMAN
g4031.t1	NVD_DANRE
g4034.t1	ABCBA_HUMAN
g4036.t1	SPE39_DANRE
g4040.t1	WDR74_BOVIN
g4042.t1	UBXN1_DANRE
g4043.t1	FIBP_MOUSE
g4044.t1	PRP39_HUMAN
g4045.t1	S29A3_BOVIN
g4049.t1	PPK5_SCHPO
g4057.t1	LGMN_BOVIN
g4058.t1	DAA1A_XENLA
g4058.t1	DAA1A_XENLA
g4058.t2	DAA1A_XENLA
g4058.t2	DAA1A_XENLA
g4060.t1	RAB4B_DANRE
g4061.t1	ARF1_CHLRE
g4062.t1	ARF_DUGJA
g4064.t1	ARF_CANAL
g4065.t1	MAX_CHICK
g4066.t1	FNTB_BOVIN
g4069.t1	NAA20_XENTR
g4070.t1	BAHD1_MOUSE
g4071.t1	LIN52_CHICK
g4072.t1	S29A3_BOVIN
g4072.t2	S29A3_BOVIN
g4074.t1	WDY_DROWI
g4077.t1	POMT2_HUMAN
g4078.t1	POMT2_DANRE
g4080.t1	PGBD4_HUMAN
g4088.t1	CMTR1_BOVIN
g4090.t1	TF3B_MOUSE
g4091.t1	BTBD3_MUSPF
g4092.t1	TF3B_MOUSE
g4103.t1	SLC31_RAT
g4103.t2	SLC31_RAT
g4104.t1	SLC31_RAT
g4105.t1	LYPL1_HUMAN
g4106.t1	TGFB3_PIG
g4107.t1	TTLL5_HUMAN
g4108.t1	TTLL5_MOUSE
g4109.t1	PAKM_DROME
g4111.t1	SDHF1_BOVIN
g4112.t1	G2E3_CHICK
g4113.t1	STX5_BOVIN
g4116.t1	GREM1_CHICK
g4119.t1	FMN2_MOUSE
g4120.t1	DNA2_ACAPL
g4121.t1	IF2M_MOUSE
g4122.t1	IF2M_MOUSE
g4123.t1	RS27A_CHICK
g4124.t1	TTC7B_HUMAN
g4124.t2	TTC7B_HUMAN
g4124.t3	TTC7B_HUMAN
g4129.t1	RM11_DROME
g4131.t1	SF3B2_HUMAN
g4134.t1	ESF1_MOUSE
g4134.t2	ESF1_MOUSE
g4135.t1	SIM2_MOUSE
g4139.t1	DHTK1_PONAB
g4143.t1	THADA_CHICK
g4145.t1	PYG_DROME
g4146.t1	BTBD7_HUMAN
g4147.t1	EPAS1_HUMAN
g4148.t1	HIF1A_ONCMY
g4149.t1	MCM8_HUMAN
g4150.t1	MCM8_CHICK
g4151.t1	SOS1_HUMAN
g4152.t1	VTI1B_HUMAN
g4153.t1	MMSA_RAT
g4154.t1	SOCS5_MOUSE
g4155.t1	WDHD1_HUMAN
g4156.t1	WDHD1_XENLA
g4158.t1	EGLN1_RAT
g4161.t1	ITPK1_MOUSE
g4163.t1	CTHA2_CONVC
g4164.t1	GPHB5_HUMAN
g4167.t1	GSC_DROME
g4168.t1	TATD3_BOVIN
g4170.t1	SPC3_STRPU
g4172.t1	SPAN_STRPU
g4174.t1	GALT7_DROME
g4175.t1	GLTL6_HUMAN
g4175.t1	GLTL6_HUMAN
g4176.t1	GALT7_DROME
g4180.t1	SPRTN_DANRE
g4182.t1	RDH13_HUMAN
g4183.t1	L2HDH_NEMVE
g4184.t1	TRIM9_BOVIN
g4185.t1	IF4A3_SALSA
g4186.t1	ADRB2_MOUSE
g4186.t2	HRH1_PANTR
g4188.t1	SNUT1_HUMAN
g4188.t1	SNUT1_HUMAN
g4189.t1	DAA10_XENLA
g4190.t1	PSA6_RAT
g4192.t1	2A5D_RABIT
g4195.t1	NPAS3_HUMAN
g4195.t2	NPAS3_HUMAN
g4197.t1	AKAP6_RAT
g4199.t1	PIP1_DROME
g4199.t1	PIP1_DROME
g4199.t2	PIP1_DROME
g4199.t2	PIP1_DROME
g4199.t3	PIP1_DROME
g4199.t3	PIP1_DROME
g4199.t4	PIP1_DROME
g4199.t4	PIP1_DROME
g4200.t1	PLCB3_MOUSE
g4201.t1	PLCB4_HUMAN
g4201.t2	PLCB4_RAT
g4201.t2	PLCB4_RAT
g4202.t1	PLCB4_HUMAN
g4204.t1	NALD2_HUMAN
g4208.t1	SI1L1_HUMAN
g4208.t2	SI1L1_HUMAN
g4208.t3	SI1L1_HUMAN
g4209.t1	PTN21_RAT
g4211.t1	PTN21_RAT
g4212.t1	CENPF_HUMAN
g4218.t1	MLP3C_HUMAN
g4219.t1	TALD3_CHICK
g4220.t1	I2BLB_XENLA
g4225.t2	ZN318_MOUSE
g4227.t1	LYS1_CRAVI
g4227.t2	LYS1_CRAVI
g4228.t1	ACM4_CHICK
g4231.t1	NDUF5_DANRE
g4233.t1	PRS4_DROME
g4235.t1	EHD1_PONAB
g4237.t1	CAD96_DROME
g4238.t1	CAD96_DROME
g4239.t1	KIF6_HUMAN
g4240.t1	KIF6_HUMAN
g4242.t1	RPB9_PIG
g4243.t1	ZFY21_RAT
g4244.t1	CRLS1_RAT
g4245.t1	GNA1_PONAB
g4246.t1	CIA30_GORGO
g4247.t1	CHP1_RAT
g4248.t1	SYJ2B_RAT
g4250.t1	BEST2_HUMAN
g4252.t1	ERLEC_XENTR
g4253.t1	ERLEC_MOUSE
g4263.t1	THADA_CANLF
g4264.t1	3HAO_HUMAN
g4265.t1	GABR1_HUMAN
g4265.t1	GABR1_HUMAN
g4268.t1	CDKL1_MOUSE
g4269.t1	M4K2_MOUSE
g4269.t2	M4K2_MOUSE
g4269.t3	M4K2_MOUSE
g4269.t4	M4K2_MOUSE
g4270.t1	CRIPT_RAT
g4272.t1	AGRL3_HUMAN
g4272.t2	AGRL3_HUMAN
g4273.t1	AGRD1_BOVIN
g4275.t1	TSNAX_RAT
g4279.t1	TAD2B_PONAB
g4280.t1	MED17_MOUSE
g4280.t2	MED17_MOUSE
g4282.t1	TF2AA_PONAB
g4283.t1	SGPP2_HUMAN
g4284.t1	SGPP2_HUMAN
g4285.t1	SGPP2_HUMAN
g4286.t1	GNMT_RAT
g4287.t1	RM49_MOUSE
g4288.t1	RS30_HUMAN
g4290.t1	RAB15_HUMAN
g4291.t1	EXOC5_HUMAN
g4292.t1	EXOC5_RAT
g4295.t1	SSR4_RAT
g4296.t1	SEPR_THESR
g4297.t1	SEPR_THESR
g4298.t1	SEPR_THESR
g4299.t1	SEPR_THESR
g4299.t2	SEPR_THESR
g4300.t1	SEPR_THESR
g4301.t1	FUZZY_XENTR
g4301.t2	FUZZY_XENTR
g4302.t1	POL4_DROME
g4304.t1	NXF1_HUMAN
g4305.t1	H33_XENTR
g4306.t1	ANCHR_HUMAN
g4307.t1	ANCHR_MOUSE
g4308.t1	RAD51_HUMAN
g4309.t1	NANP_RAT
g4310.t1	DPP3_NEMVE
g4311.t1	IP3KB_HUMAN
g4312.t1	HS3S5_MOUSE
g4315.t1	TTL15_CAEEL
g4323.t1	CALM_STIJA
g4324.t1	CALM_LOCMI
g4325.t1	CALM_LOCMI
g4326.t1	CALM_LOCMI
g4327.t1	BDH_RAT
g4328.t1	BDH_RAT
g4329.t1	ACNT1_MOUSE
g4330.t1	UNC79_MOUSE
g4330.t1	UNC79_MOUSE
g4331.t1	UNC79_MOUSE
g4333.t1	UNC79_MOUSE
g4333.t1	UNC79_MOUSE
g4336.t1	FEZ2_MOUSE
g4337.t1	ARS_HEMPU
g4338.t1	AFTIN_MOUSE
g4338.t2	AFTIN_MOUSE
g4342.t1	EMARD_RAT
g4342.t2	EMARD_RAT
g4343.t1	TIM50_DANRE
g4344.t1	F120B_BOVIN
g4347.t1	DLLD_DANRE
g4348.t1	CHAC1_RAT
g4350.t1	INO80_MOUSE
g4350.t1	INO80_MOUSE
g4355.t1	CTSRE_HUMAN
g4356.t1	CTSR1_MOUSE
g4357.t1	SNAA_MOUSE
g4357.t2	SNAA_MOUSE
g4358.t1	YLAT2_RAT
g4358.t2	YLAT2_RAT
g4358.t3	YLAT2_RAT
g4359.t1	HPSE_BOVIN
g4360.t1	AHSA1_MOUSE
g4361.t1	DMAC2_RAT
g4362.t1	CCS_HUMAN
g4363.t1	KLDC2_HUMAN
g4366.t1	NADAP_HUMAN
g4367.t1	2A5E_HUMAN
g4368.t1	TOM20_RAT
g4370.t1	RTN4_RAT
g4370.t2	RTN1A_XENLA
g4371.t1	SPTC2_MOUSE
g4372.t1	HIPL2_MOUSE
g4373.t1	AOFB_MOUSE
g4374.t1	GXN_ACRMI
g4374.t1	GXN_ACRMI
g4374.t1	GXN_ACRMI
g4374.t2	GXN_ACRMI
g4374.t2	GXN_ACRMI
g4374.t2	GXN_ACRMI
g4375.t1	GXN_ACRMI
g4377.t1	TFB2M_BOVIN
g4383.t1	KCNK5_HUMAN
g4384.t1	KCNK4_RAT
g4389.t1	RM14_BOVIN
g4390.t1	PCYOX_ARATH
g4391.t1	NEC2_PONAB
g4396.t1	PIRL5_ORYSJ
g4396.t1	PIRL5_ORYSJ
g4401.t1	JKAMP_HUMAN
g4404.t1	DICER_MOUSE
g4404.t1	DICER_MOUSE
g4405.t1	DICER_XENTR
g4406.t1	DYHC1_RAT
g4406.t2	DYHC1_MOUSE
g4406.t3	DYHC1_HUMAN
g4407.t1	DYHC1_MOUSE
g4408.t1	DYHC1_MOUSE
g4408.t1	DYHC1_MOUSE
g4409.t1	DYHC_NEUCR
g4410.t1	DYHC1_MOUSE
g4410.t2	DYHC1_MOUSE
g4414.t1	NRDE2_HUMAN
g4415.t1	NRDE2_MOUSE
g4418.t1	QPCT_MOUSE
g4418.t2	QPCT_MOUSE
g4419.t1	SMAG1_XENLA
g4420.t1	CGRF1_MOUSE
g4422.t1	SRF_XENLA
g4424.t1	GCH1_CHICK
g4426.t1	FANCL_MOUSE
g4427.t1	VRK1_MOUSE
g4427.t2	VRK1_MOUSE
g4428.t1	PPR37_DANRE
g4430.t1	SCFD1_MOUSE
g4432.t1	PIGF_MOUSE
g4433.t1	BSCL2_BOVIN
g4434.t1	CENPV_MOUSE
g4436.t1	SYNE1_HUMAN
g4436.t1	SYNE1_HUMAN
g4437.t1	MS300_DROME
g4438.t1	MS300_DROME
g4438.t1	MS300_DROME
g4438.t1	MS300_DROME
g4439.t1	SYNE1_MOUSE
g4439.t1	SYNE1_MOUSE
g4439.t1	SYNE1_MOUSE
g4445.t1	SYNE1_HUMAN
g4445.t2	SYNE1_HUMAN
g4446.t1	SYNE1_HUMAN
g4446.t1	SYNE1_HUMAN
g4446.t2	SYNE1_HUMAN
g4446.t2	SYNE1_HUMAN
g4447.t1	TAF1A_HUMAN
g4448.t1	TAF6L_MOUSE
g4448.t2	TAF6L_MOUSE
g4455.t1	SYT16_HUMAN
g4456.t1	RDH12_HUMAN
g4457.t1	RDH14_BOVIN
g4458.t1	ECH1_MOUSE
g4459.t1	DRC8_MOUSE
g4460.t1	HNRL1_MOUSE
g4463.t1	MUS81_XENTR
g4463.t1	MUS81_XENTR
g4464.t1	FBP1_STRPU
g4464.t1	FBP1_STRPU
g4464.t1	FBP1_STRPU
g4464.t1	FBP1_STRPU
g4464.t1	FBP1_STRPU
g4464.t2	SVEP1_HUMAN
g4464.t2	SVEP1_HUMAN
g4464.t2	SVEP1_HUMAN
g4464.t2	SVEP1_HUMAN
g4464.t2	SVEP1_HUMAN
g4464.t2	SVEP1_HUMAN
g4464.t2	SVEP1_HUMAN
g4465.t1	SRPX_HUMAN
g4466.t1	RRP36_NEMVE
g4468.t1	EMAL6_HUMAN
g4470.t1	REL_MELGA
g4471.t1	SPAST_MOUSE
g4471.t2	SPAST_RAT
g4472.t1	PNO1_NEMVE
g4473.t1	KPTN_MOUSE
g4474.t1	VDRB_DANRE
g4474.t1	VDRB_DANRE
g4476.t1	RSAD2_ONCMY
g4477.t1	ARV1_BOVIN
g4478.t1	PLHD1_HUMAN
g4478.t2	PLHD1_HUMAN
g4480.t1	CP2J4_RAT
