gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0150	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2	uniprotID	geneID	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
20	g10054.t1	69.6043649210951	-0.720162133801772	0.255055934235291	-2.82354588596797	0.00474956266940419	0.020650479974389	51	55	79	74	63	71	55	58	69	54	84	37	102	87	68	sp	Q1RMT1	ERCC3_BOVIN	78.779	344	71	2	1	1026	438	781	0	558
21	g1007.t1	56.5421917060041	-0.702167115032289	0.248624624830951	-2.8242058304149	0.00473979354342062	0.0206162913775443	85	19	56	35	56	44	69	52	79	57	31	52	80	86	56	sp	Q80Z37	TOPRS_MOUSE	37.38	313	138	7	91	906	104	399	3.63e-53	203
22	g10077.t1	2.0805644998755	-3.81432739453824	1.44092487143736	-2.6471382860741	0.00811761503215306	0.0311563425047535	0	6	1	0	1	0	1	4	0	0	0	0	1	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	g1008.t1	6.93523581689889	-4.78630973467485	1.214767720324	-3.94010283167406	8.14466892902689e-05	0.000751428197353931	1	5	0	0	0	24	18	1	0	2	0	2	26	0	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	g10085.t1	32.5156250732972	-1.55264044326706	0.532120755061038	-2.91783477434359	0.00352471062436556	0.0163151720920301	13	76	10	16	21	42	38	10	16	21	32	15	39	21	36	sp	D3YXS5	KIF28_MOUSE	53.186	361	154	6	1	1083	36	381	1.2e-109	349
25	g10087.t1	37.0588558553738	-4.99372977280065	1.22187011711316	-4.08695629990448	4.37069405599139e-05	0.000448363991945821	0	8	4	1	3	366	95	0	0	2	0	11	39	2	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	g1009.t1	363.707680888992	-2.58345907769472	0.430302876917505	-6.00381548968822	1.92733715194975e-09	7.93651137010968e-08	579	95	265	317	49	921	531	411	84	83	109	74	1020	167	419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	g10094.t1	882.304047936774	-1.293678836445	0.50885439150725	-2.54233599638015	0.0110114263998763	0.0395143821796855	628	115	332	470	532	352	647	1409	995	714	549	540	2330	757	2105	sp	P79701	VGFR3_COTCO	49.864	367	146	7	64	1050	838	1204	2.28e-105	351
28	g101.t1	4.18387022706403	-4.45997393751636	1.48008067052504	-3.01333165572267	0.00258396357248308	0.0126737818840788	0	10	10	0	0	10	14	0	1	2	0	0	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	g1010.t1	115.826760582403	-2.68486407852167	0.438980948812275	-6.11612892492476	9.58757689841709e-10	4.25928595887585e-08	220	26	78	79	11	302	145	131	36	37	41	19	321	40	141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	g10103.t1	175.610003809738	2.00021438548304	0.356799097289502	5.60599620536622	2.07060498350249e-08	6.45497677493896e-07	104	40	65	410	318	70	85	30	259	219	524	410	98	520	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	g10104.t1	985.627457550088	-4.5810210765851	0.590246971205182	-7.76119370376684	8.41337009959583e-15	1.16681578272279e-12	690	82	314	125	35	972	882	2298	101	82	139	80	2992	102	3217	sp	P53396	ACLY_HUMAN	81.579	456	84	0	1	1368	642	1097	0	795
32	g10105.t1	44.8303092864332	-4.68007159766944	1.24817093985239	-3.74954379103147	0.00017715656036461	0.00143067644027187	3	0	6	0	0	73	30	205	11	6	0	0	70	16	59	sp	Q91V92	ACLY_MOUSE	60.687	262	83	4	1	783	391	633	7.73e-96	306
33	g10105.t2	440.210131047281	-5.12946758408477	0.616075314279805	-8.32603979609399	8.35917130599478e-17	1.58640939653682e-14	357	30	100	42	17	323	479	947	20	21	26	29	1308	59	1668	sp	Q32PF2	ACLY_BOVIN	62.55	251	86	3	1	753	391	633	3.81e-96	307
34	g10106.t1	674.453880162084	-4.47983390239349	0.571239175886988	-7.84230860118698	4.4233764646048e-15	6.29603617182401e-13	478	65	220	82	29	659	642	1419	73	57	97	72	1990	79	2416	sp	Q91V92	ACLY_MOUSE	66.887	302	99	1	19	921	43	344	4.86e-142	431
35	g10108.t1	18.2719896510126	1.23864340313182	0.395865616451355	3.12894919805199	0.00175432636338039	0.00928218412123618	8	5	10	37	22	6	14	1	34	21	50	30	11	47	21	sp	A9JRX0	MSL1_DANRE	29.487	312	154	10	490	1344	204	476	7.36e-21	98.6
36	g10109.t1	1096.47049205402	2.03859664934911	0.488502349093822	4.17315628702857	3.00408719841831e-05	0.000325618369427757	835	166	1084	2379	3306	137	216	168	2373	1947	945	2155	202	4201	134	sp	O88377	PI42B_RAT	63.255	381	133	2	70	1194	36	415	8.96e-152	438
37	g1011.t1	84.8874566695221	1.36898262596947	0.238153200300142	5.7483276489426	9.01304547947962e-09	3.0192127754783e-07	55	17	71	154	206	43	60	17	228	124	133	130	37	184	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	g10111.t1	10.7775113907062	5.16220851181526	0.841955703563381	6.13121152332292	8.7212358443392e-10	3.89842846058427e-08	1	1	0	49	37	1	0	1	19	11	39	12	0	32	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	g10112.t1	23.3737940349659	4.06650797882277	0.635350288421567	6.40041887590136	1.54951262627023e-10	8.27745818996456e-09	2	4	0	68	115	1	4	3	44	22	96	16	2	59	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	g10117.t1	65.7914369144883	-1.73674694858059	0.493580580673488	-3.51866952749805	0.000433716610138888	0.00298931470543321	29	47	17	21	47	207	124	20	38	44	52	17	66	50	170	sp	Q864U1	BRCA1_BOVIN	41.827	208	121	0	8083	8706	1641	1848	2.13e-45	186
41	g10123.t1	18.7821902606207	-2.11583758745122	0.754074295143498	-2.80587417059293	0.00501802835053773	0.0215920929522442	6	51	4	5	0	27	19	7	10	13	18	3	12	11	30	sp	P70277	SIA7B_MOUSE	29.787	329	181	12	295	1161	55	373	1.57e-34	134
42	g10124.t1	47.1552156610295	-3.06241505588632	1.12873759058454	-2.71313286757853	0.00666503766933483	0.0268225613794753	0	10	1	28	2	91	144	2	0	12	23	10	14	5	303	sp	Q9UJ37	SIA7B_HUMAN	35.417	240	129	6	490	1143	139	374	1.57e-36	139
43	g10125.t1	6.0404790801582	-5.45149037947206	1.61285760970383	-3.38001962893247	0.000724806531972155	0.00455583652504869	0	28	3	0	0	14	1	0	2	0	0	0	6	0	1	sp	P70277	SIA7B_MOUSE	32.308	325	171	12	355	1218	61	373	1.08e-36	140
44	g10140.t1	365.850387495196	1.27327283596428	0.262461082057203	4.85128243008145	1.22665722372981e-06	2.17174542024505e-05	286	120	282	610	644	120	228	57	738	540	654	694	150	1042	215	sp	Q5ZKI4	CCD93_CHICK	63.926	596	204	5	118	1890	23	612	0	707
45	g10143.t1	38.0909574340771	1.04905085298982	0.297670051769721	3.52420690880039	0.000424752430198086	0.00294342593157056	29	18	28	76	56	15	31	8	49	69	46	79	14	105	22	sp	Q9UJ83	HACL1_HUMAN	54.448	281	122	4	97	936	301	576	6.44e-101	310
46	g10147.t1	26.922964490901	-1.06549977941902	0.382231873942584	-2.78757438103939	0.00531042618768825	0.0225055965858248	31	28	12	12	20	34	36	22	12	19	27	12	46	61	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	g10157.t1	53.3070282520967	1.39743282859344	0.422339502886522	3.30879024823051	0.000937000063657284	0.00558765060011724	16	25	54	128	68	32	29	2	97	59	66	120	27	212	15	sp	Q7ZYA5	PRKAA_XENLA	36.177	293	164	3	10	855	29	309	2.74e-40	145
48	g10162.t1	294.205572590097	2.08221024524497	0.305041037545034	6.82600040310172	8.73146841734365e-12	6.27592422622026e-10	147	70	161	492	700	115	98	62	429	473	726	694	49	1095	50	sp	P35353	CRFR1_RAT	42.857	371	195	9	211	1299	37	398	2.81e-57	204
49	g10168.t1	5.17054545530088	-2.90714241005363	1.0445252524952	-2.7832188863878	0.00538224814569763	0.02273427150179	0	10	2	3	0	7	8	0	1	3	0	2	4	1	21	sp	Q6BD04	GPR54_ORENI	40.789	304	173	4	94	993	47	347	5.02e-68	221
50	g10173.t1	59.6481678979301	2.55005064976896	0.560710190091897	4.54789425059498	5.41853490189784e-06	7.85197606179235e-05	21	20	42	203	132	12	6	2	92	88	136	128	4	189	4	sp	Q0VD31	FBXL4_BOVIN	41.944	360	193	6	25	1068	34	389	7.61e-84	270
51	g10178.t1	25.3980392040315	1.08532196026278	0.373869239978845	2.90294531939613	0.00369671175652593	0.0169409783631515	18	19	9	33	59	14	18	2	46	57	37	30	9	59	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	g10183.t1	75.0338852060205	-2.4911574691808	0.882437864740206	-2.82304009009655	0.00475706227359998	0.0206747774787737	13	186	9	7	9	115	116	0	42	81	14	5	83	40	182	sp	Q2PC93	SSPO_CHICK	30.428	1239	742	37	379	3966	176	1337	1.32e-156	537
53	g10183.t1	75.0338852060205	-2.4911574691808	0.882437864740206	-2.82304009009655	0.00475706227359998	0.0206747774787737	13	186	9	7	9	115	116	0	42	81	14	5	83	40	182	sp	Q2PC93	SSPO_CHICK	27.438	441	282	13	1339	2610	940	1359	7.04e-32	140
54	g10183.t1	75.0338852060205	-2.4911574691808	0.882437864740206	-2.82304009009655	0.00475706227359998	0.0206747774787737	13	186	9	7	9	115	116	0	42	81	14	5	83	40	182	sp	Q2PC93	SSPO_CHICK	26.685	371	233	13	460	1518	1010	1359	1.97e-25	119
55	g10188.t1	693.254299173854	0.900958389889239	0.28897515302633	3.11777113171785	0.00182224249893655	0.00954812701973657	548	113	868	922	1158	377	558	277	1746	883	909	1326	339	1594	270	sp	E7F9L8	MYO1D_DANRE	58.689	1007	407	8	1	3009	1	1002	0	1181
56	g1019.t1	914.170547072954	-1.13538298966451	0.268027990694919	-4.23606126629085	2.27474734578819e-05	0.000258342041082034	1042	184	1201	705	683	1283	1055	1076	654	565	858	713	1204	890	1151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
57	g10192.t1	385.395881711971	-0.728272132798111	0.189096218662052	-3.85133102053014	0.000117477578020599	0.0010231994365844	464	146	500	413	374	398	458	329	326	282	422	316	606	459	287	sp	F6P3G4	PS11A_DANRE	72.115	416	116	0	7	1254	5	420	0	595
58	g10204.t1	12.0406197151227	1.37813764637288	0.430186862403612	3.20357911134878	0.0013573074344775	0.00754088310745175	4	53	2	13	24	11	5	1	16	27	34	18	15	32	5	sp	Q4R6W9	SNPC1_MACFA	47.368	114	60	0	4	345	29	142	4.15e-26	104
59	g10208.t1	28.4245244008988	1.04258024271945	0.337671030525707	3.08756200108814	0.00201805669227255	0.0104033002731761	19	15	16	20	61	24	20	3	44	40	70	43	12	87	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	g10209.t1	236.537458230963	0.595060618902683	0.217477092911025	2.73619906785372	0.00621534141591161	0.0254053049072738	210	62	195	293	420	212	162	146	451	236	453	340	134	448	135	sp	Q8R5C8	ZMY11_MOUSE	48.87	354	178	2	13	1074	4	354	6.67e-116	362
61	g10212.t1	40.4149986997317	1.76315273821115	0.350292642264503	5.03337074627963	4.819297954718e-07	9.82709813857906e-06	32	15	14	63	109	25	20	5	63	70	85	101	12	97	4	sp	Q9CZ28	SNF8_MOUSE	65.021	243	82	2	4	732	3	242	1.5e-107	313
62	g10216.t1	45.466980538137	2.16063861669553	0.458793883392069	4.70938845287334	2.48461145381515e-06	4.00257399875583e-05	10	9	1	61	107	19	55	5	115	86	96	90	13	175	11	sp	P48758	CBR1_MOUSE	50.725	276	133	3	1	822	1	275	1.89e-90	280
63	g10216.t1	45.466980538137	2.16063861669553	0.458793883392069	4.70938845287334	2.48461145381515e-06	4.00257399875583e-05	10	9	1	61	107	19	55	5	115	86	96	90	13	175	11	sp	P48758	CBR1_MOUSE	50.481	208	98	4	799	1413	1	206	4.53e-59	199
64	g10238.t1	33.6774614002467	-2.0449566587936	0.541515811019113	-3.77635632641098	0.000159139285330125	0.00131061227183755	15	5	19	14	16	90	57	16	39	13	4	19	107	11	82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
65	g10251.t1	18.2748836669439	-1.34842861627262	0.538027542424532	-2.5062445877699	0.0122021179631269	0.0427726542664046	12	5	16	19	6	77	25	13	12	2	19	19	11	13	23	sp	O54749	CP2J5_MOUSE	40.204	490	285	6	31	1491	16	500	7.12e-114	348
66	g10265.t1	81.9766354810949	1.92579037736544	0.531675519783891	3.62211594422894	0.00029220309216588	0.00217468658376636	78	33	38	123	183	32	13	7	126	164	112	316	24	202	2	sp	Q21281	MUP4_CAEEL	38.559	236	131	7	367	1062	392	617	2.28e-31	133
67	g10267.t1	632.748051377926	-1.9794146759051	0.394742252611872	-5.01444844783655	5.3185809766768e-07	1.06543980954076e-05	987	178	1197	595	290	661	493	1040	315	231	151	326	1230	284	512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	g10268.t1	56.7556406561995	0.803263553688996	0.229124668789357	3.50579253614751	0.000455249917927177	0.00309805156667438	52	22	22	97	112	68	42	17	103	77	61	102	41	124	24	sp	F1QVR8	METL5_DANRE	69.712	208	60	2	1	624	1	205	1.27e-105	312
69	g10270.t1	182.942707345069	-1.04591575137544	0.314007272217147	-3.33086474077631	0.000865766590188084	0.00525557244071807	188	32	228	137	166	221	164	257	211	120	106	124	277	221	212	sp	Q5ZI03	CIR1_CHICK	46.734	199	95	2	1	564	1	199	1.18e-56	197
70	g10273.t1	16.201680758332	-3.78374458086699	0.988283619225006	-3.82860193902043	0.000128873251012329	0.00110356901818998	19	0	50	1	0	56	27	18	0	7	1	5	40	5	0	sp	P25107	PTH1R_DIDVI	46.97	132	62	3	1	378	362	491	1.51e-28	118
71	g10273.t2	77.1885223602955	-3.86985269218832	0.443917393511012	-8.71750633959407	2.84395894429212e-18	7.69113146997e-16	215	47	265	15	12	90	96	62	13	7	9	13	129	17	21	sp	Q91085	VIPR_MELGA	38.25	400	178	13	169	1236	58	432	4.48e-78	257
72	g10277.t1	84.3161184236317	-1.13441404306846	0.356665103582262	-3.18061405972907	0.00146963273256857	0.00806174040799215	112	104	145	70	63	82	86	55	59	39	94	60	69	79	35	sp	Q0VA42	MINY4_XENTR	55.028	358	158	2	961	2034	392	746	4.02e-140	430
73	g10278.t1	181.885941257456	-5.49629049337467	0.797552271521065	-6.89144861049963	5.52270730033199e-12	4.06656142187967e-10	36	9	696	4	8	31	36	595	6	13	7	16	155	14	330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
74	g10279.t1	4233.76731897707	-7.18798566929128	0.68363181904716	-10.5144106359909	7.41429071533168e-26	5.94104368985929e-23	1942	151	4728	69	15	1980	2434	15033	56	65	87	99	8678	99	10734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
75	g1028.t1	319.853239626317	-1.57870211901071	0.365708540414261	-4.31683142324873	1.58284949124094e-05	0.000190038561281897	566	112	540	142	187	143	262	491	225	164	254	167	354	293	426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76	g10280.t1	352.444822354865	-1.01193564198371	0.273926263139559	-3.69418992682768	0.000220588885234423	0.00171794115624433	504	103	546	437	258	290	339	349	320	214	229	239	525	384	409	sp	Q8C172	CERS6_MOUSE	48.495	299	154	0	7	903	2	300	1.13e-95	293
77	g10281.t1	3530.08959470921	-1.01519746319941	0.23881857784772	-4.25091495120927	2.12899006683986e-05	0.000244483546157539	3643	1109	4025	2976	3350	5283	3066	4080	3449	3025	2332	2523	4658	3050	4515	sp	P61354	RL27_RAT	75.735	136	33	0	1	408	1	136	1.04e-72	216
78	g10284.t1	862.846301920516	-0.824865473738956	0.306362298626973	-2.69245098837476	0.00709289598676976	0.0281568448942686	915	150	985	655	643	969	808	1076	971	755	1031	597	1282	889	981	sp	P35978	KINH_STRPU	71.23	935	178	7	1	2547	1	930	0	1242
79	g10285.t1	40.330676110246	-2.3618195972965	0.787233125064234	-3.00015271474227	0.00269844275611806	0.0131399525160059	18	15	3	18	28	103	246	2	1	12	13	16	16	29	89	sp	P58557	YBEY_HUMAN	41.104	163	94	2	1	486	1	162	7.84e-44	145
80	g1029.t1	12.3054850945447	1.44018926818515	0.478447284063759	3.01013155713353	0.00261134555853518	0.0127964804436939	4	12	3	18	23	6	7	0	30	17	25	16	7	41	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	g10298.t1	47.1773620097889	-5.94306680649912	0.711115848146571	-8.35738202430579	6.41253812497126e-17	1.2728005718693e-14	22	18	72	5	0	50	37	76	0	0	3	1	179	4	126	sp	Q15485	FCN2_HUMAN	48.148	216	107	2	214	861	102	312	3.98e-62	202
82	g10299.t1	9746.72300511985	-4.543135246037	0.435567916958354	-10.4303716347212	1.80182183237067e-25	1.29941384477798e-22	8900	953	21932	1129	700	16325	9376	13354	542	1221	776	955	27234	1586	22935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
83	g10300.t1	183.09215498189	-1.00304861517077	0.358865509717613	-2.79505438112473	0.00518909855733687	0.0221519627640062	164	29	215	174	186	384	269	171	197	169	36	141	276	195	173	sp	Q6PBA2	LS12A_DANRE	43.094	181	98	5	13	546	1	179	7.87e-41	139
84	g10304.t1	40.4951279290045	-2.67683184250206	0.840092807220819	-3.18635253092752	0.00144078918403302	0.007923608031661	3	4	10	12	6	53	57	40	8	5	0	20	302	57	50	sp	Q60539	TCF15_MESAU	65.347	101	29	3	202	489	72	171	1.22e-32	119
85	g10305.t1	19.831854261646	-3.28327703371562	0.896304462835469	-3.66312695055532	0.00024915497656892	0.00190207054272003	4	82	13	2	3	29	15	2	6	10	0	2	16	10	3	sp	Q96M86	DNHD1_HUMAN	23.506	1004	670	13	2320	5157	660	1623	1.08e-59	232
86	g10305.t1	19.831854261646	-3.28327703371562	0.896304462835469	-3.66312695055532	0.00024915497656892	0.00190207054272003	4	82	13	2	3	29	15	2	6	10	0	2	16	10	3	sp	Q96M86	DNHD1_HUMAN	27.866	506	355	5	334	1848	93	589	4.92e-49	197
87	g10307.t1	12.7502134038644	-1.54402132509434	0.633312348344983	-2.43800918950861	0.0147683985691849	0.0496911824330193	5	26	6	9	14	29	25	2	4	8	1	6	13	17	7	sp	D3Z2X2	DNHD1_MOUSE	26.415	424	246	14	2131	3300	2216	2607	6.17e-22	107
88	g10308.t1	37.0397924089452	2.2050983527179	0.291746621355886	7.55826525931904	4.08480375987253e-14	4.77701239701849e-12	5	8	12	63	89	25	17	5	77	67	102	68	8	119	13	sp	Q9H8W5	TRI45_HUMAN	24.274	482	311	10	109	1443	37	501	5.14e-26	117
89	g1031.t1	68.311502389946	-3.11091800266478	0.52485629513752	-5.92718050918999	3.08180155402285e-09	1.19275092345768e-07	67	83	118	24	14	50	33	171	25	15	5	15	73	26	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
90	g10318.t1	8313.38245045703	-1.51014473873954	0.390221412958045	-3.86996891660043	0.00010884923047806	0.000961990645993805	26997	3724	14817	6283	4510	4404	7083	8142	4453	6029	4589	5417	6065	6489	6154	sp	B8JK39	ITA9_MOUSE	33.163	781	460	26	4	2235	41	796	2.03e-105	357
91	g10319.t1	214.545562290458	0.702953153670276	0.244026992673049	2.88063687533167	0.00396872587614664	0.017873310643304	275	50	119	337	280	254	148	55	345	298	436	320	172	443	105	sp	P16332	MUTA_MOUSE	73.628	747	194	2	1	2241	1	744	0	1168
92	g10320.t1	1148.39252190071	-2.95622368394418	0.514832867995435	-5.7421036373505	9.35075610899416e-09	3.11236320643213e-07	849	127	1536	510	180	800	1129	3157	420	350	205	249	2560	315	1686	sp	P00029	CYC_ASTRU	69.903	103	31	0	25	333	2	104	8.08e-52	161
93	g10321.t1	91.2898135041916	0.978034735405397	0.267112395031764	3.66151011183548	0.000250732962965403	0.00191276715576745	41	48	35	162	159	39	100	36	213	116	150	108	54	232	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
94	g10326.t1	7.17887015340157	-3.43537450839685	1.16482785417761	-2.94925511617532	0.00318540905781075	0.0150373827112668	0	16	0	1	2	39	13	0	0	2	0	2	10	4	4	sp	Q9Z340	PARD3_RAT	51.44	243	94	4	220	909	452	683	7.05e-62	221
95	g10338.t1	59.0677651134419	-2.07845746343598	0.403791708171847	-5.14735053091141	2.64191363437904e-07	5.80871966258035e-06	109	19	45	28	10	42	68	106	30	24	35	37	123	31	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
96	g1034.t1	65.7349474697678	-2.01798091755478	0.363757728189091	-5.547595999131	2.89624145565031e-08	8.64278398524061e-07	87	23	202	44	22	85	93	339	15	25	41	34	112	46	79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
97	g1035.t1	80.159032553328	-2.82139921988613	0.706525398714727	-3.99334436528208	6.51478456506694e-05	0.000628107683000103	10	28	2	15	34	294	292	16	25	39	13	17	155	31	218	sp	Q9NYY3	PLK2_HUMAN	41.041	653	325	11	184	2094	68	676	3.86e-176	523
98	g10352.t1	7.42017377169528	-3.2805365170921	1.11968612954775	-2.92987153321006	0.00339102164253509	0.0157773662873649	0	7	0	0	5	8	11	18	3	3	0	0	4	1	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
99	g10353.t1	178.250758437753	-2.13179611147095	0.86705108160016	-2.45867418507416	0.0139451110339196	0.0475047200785469	52	111	8	79	128	15	1070	39	234	46	66	14	416	3	347	sp	Q15485	FCN2_HUMAN	57.219	187	78	2	241	798	127	312	1.08e-60	197
