gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2	uniprotID	geneID	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
g10105.t1	50.44547625	-4.862883251	1.132000276	-4.295832212	1.74E-05	0.00015244	3	6	0	0	73	30	205	11	6	0	0	70	16	59	sp	Q91V92	ACLY_MOUSE	60.687	262	83	4	1	783	391	633	7.73E-96	306
g10105.t2	490.6089714	-5.303846883	0.559580829	-9.47824981	2.59E-21	5.93E-19	357	100	42	17	323	479	947	20	21	26	29	1308	59	1668	sp	Q32PF2	ACLY_BOVIN	62.55	251	86	3	1	753	391	633	3.81E-96	307
g10106.t1	748.289296	-4.647359152	0.52476816	-8.856023498	8.29E-19	1.30E-16	478	220	82	29	659	642	1419	73	57	97	72	1990	79	2416	sp	Q91V92	ACLY_MOUSE	66.887	302	99	1	19	921	43	344	4.86E-142	431
g10108.t1	19.73957685	1.245158065	0.410003923	3.03694183	0.002389916	0.009818175	8	10	37	22	6	14	1	34	21	50	30	11	47	21	sp	A9JRX0	MSL1_DANRE	29.487	312	154	10	490	1344	204	476	7.36E-21	98.6
g10109.t1	1207.8787	2.012723952	0.51872862	3.880109703	0.000104409	0.000713168	835	1084	2379	3306	137	216	168	2373	1947	945	2155	202	4201	134	sp	O88377	PI42B_RAT	63.255	381	133	2	70	1194	36	415	8.96E-152	438
g1011.t1	92.81860645	1.338014442	0.250087465	5.350185947	8.79E-08	1.49E-06	55	71	154	206	43	60	17	228	124	133	130	37	184	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10111.t1	11.98901407	5.488030199	0.908565988	6.040320982	1.54E-09	4.12E-08	1	0	49	37	1	0	1	19	11	39	12	0	32	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10112.t1	25.68934652	4.456458356	0.651368134	6.841689243	7.83E-12	3.57E-10	2	0	68	115	1	4	3	44	22	96	16	2	59	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10114.t1	46.83414037	1.157100646	0.307996474	3.756863288	0.000172056	0.001094181	34	20	39	124	34	42	9	70	55	76	110	27	92	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10115.t1	470.269796	-1.462739137	0.554898565	-2.636047792	0.008387792	0.027978896	90	853	228	499	246	226	822	419	407	75	232	737	324	619	sp	Q5R9F4	RND3_PONAB	51.064	188	92	0	13	576	13	200	1.60E-59	191
g10117.t1	66.01681132	-1.712632781	0.522006741	-3.280863345	0.001034899	0.004857769	29	17	21	47	207	124	20	38	44	52	17	66	50	170	sp	Q864U1	BRCA1_BOVIN	41.827	208	121	0	8083	8706	1641	1848	2.13E-45	186
g10118.t1	19.65894466	1.027349346	0.335939108	3.058141556	0.002227143	0.00925535	13	5	14	48	17	11	4	33	25	31	37	22	47	9	sp	Q6KB59	SIA4A_PANTR	29.63	297	175	10	445	1275	56	338	5.41E-29	119
g10124.t1	51.44753106	-3.201401871	1.171300305	-2.733203309	0.00627216	0.021948272	0	1	28	2	91	144	2	0	12	23	10	14	5	303	sp	Q9UJ37	SIA7B_HUMAN	35.417	240	129	6	490	1143	139	374	1.57E-36	139
g10125.t1	1.91801483	-3.801979292	1.538352334	-2.471461972	0.013456186	0.040833322	0	3	0	0	14	1	0	2	0	0	0	6	0	1	sp	P70277	SIA7B_MOUSE	32.308	325	171	12	355	1218	61	373	1.08E-36	140
g10140.t1	391.7690667	1.32756594	0.277191388	4.789347718	1.67E-06	1.99E-05	286	282	610	644	120	228	57	738	540	654	694	150	1042	215	sp	Q5ZKI4	CCD93_CHICK	63.926	596	204	5	118	1890	23	612	0	707
g10143.t1	39.82011566	1.159589719	0.298250005	3.88797887	0.000101082	0.000692987	29	28	76	56	15	31	8	49	69	46	79	14	105	22	sp	Q9UJ83	HACL1_HUMAN	54.448	281	122	4	97	936	301	576	6.44E-101	310
g10147.t1	25.47810057	-0.901397527	0.375851494	-2.398281079	0.01647222	0.047972125	31	12	12	20	34	36	22	12	19	27	12	46	61	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10157.t1	55.74819455	1.578295279	0.420039509	3.75749244	0.000171625	0.001091882	16	54	128	68	32	29	2	97	59	66	120	27	212	15	sp	Q7ZYA5	PRKAA_XENLA	36.177	293	164	3	10	855	29	309	2.74E-40	145
g10158.t1	17.17776299	1.163584453	0.390287567	2.981351579	0.002869791	0.011455497	3	11	27	46	12	12	2	25	15	37	21	20	38	7	sp	Q9BSH4	TACO1_HUMAN	41.296	247	137	3	19	756	58	297	6.91E-60	194
g10162.t1	319.630377	2.16088065	0.317581747	6.804171421	1.02E-11	4.48E-10	147	161	492	700	115	98	62	429	473	726	694	49	1095	50	sp	P35353	CRFR1_RAT	42.857	371	195	9	211	1299	37	398	2.81E-57	204
g10164.t1	73.993946	0.499942671	0.209464288	2.386768056	0.016997211	0.049145467	69	51	97	119	53	65	38	136	67	80	97	59	172	29	sp	Q6NX27	MINY3_XENTR	45.125	441	223	7	61	1344	7	441	1.71E-120	361
g10168.t1	4.082173681	-2.538075389	1.063625037	-2.386250135	0.017021169	0.049193895	0	2	3	0	7	8	0	1	3	0	2	4	1	21	sp	Q6BD04	GPR54_ORENI	40.789	304	173	4	94	993	47	347	5.02E-68	221
g10173.t1	63.78441917	2.873913438	0.547764264	5.246624559	1.55E-07	2.48E-06	21	42	203	132	12	6	2	92	88	136	128	4	189	4	sp	Q0VD31	FBXL4_BOVIN	41.944	360	193	6	25	1068	34	389	7.61E-84	270
g10176.t1	2.556021276	3.133857393	1.064070956	2.945158285	0.003227895	0.012668373	0	2	9	1	1	0	0	2	9	6	6	0	5	0	sp	Q9MYM7	B3GT1_PONPY	46.939	98	51	1	4	294	94	191	3.26E-25	90.9
g10176.t1	2.556021276	3.133857393	1.064070956	2.945158285	0.003227895	0.012668373	0	2	9	1	1	0	0	2	9	6	6	0	5	0	sp	Q9MYM7	B3GT1_PONPY	45.946	37	20	0	339	449	209	245	3.26E-25	45.1
g10178.t1	25.34067187	1.38088298	0.318302153	4.338277221	1.44E-05	0.000128992	18	9	33	59	14	18	2	46	57	37	30	9	59	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10179.t1	57.36902194	1.119776043	0.420699308	2.661701649	0.007774676	0.026276273	50	7	63	131	76	47	9	57	104	107	95	23	126	18	sp	P22045	PGFS_LEIMA	39.085	284	160	4	7	855	8	279	5.80E-64	205
g10188.t1	762.2514074	0.81070552	0.282910576	2.865589297	0.004162339	0.015617162	548	868	922	1158	377	558	277	1746	883	909	1326	339	1594	270	sp	E7F9L8	MYO1D_DANRE	58.689	1007	407	8	1	3009	1	1002	0	1181
g1019.t1	998.4341629	-1.260667214	0.200020113	-6.302702251	2.93E-10	9.34E-09	1042	1201	705	683	1283	1055	1076	654	565	858	713	1204	890	1151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10192.t1	409.0932967	-0.781987056	0.190107863	-4.113386168	3.90E-05	0.000309484	464	500	413	374	398	458	329	326	282	422	316	606	459	287	sp	F6P3G4	PS11A_DANRE	72.115	416	116	0	7	1254	5	420	0	595
g10193.t1	26.51093684	1.109677811	0.366526889	3.027548172	0.002465464	0.01008526	16	19	19	69	22	15	2	73	34	44	39	23	40	9	sp	Q99LX5	MMTA2_MOUSE	50.495	101	49	1	1	300	1	101	1.30E-26	107
g10204.t1	12.70887665	1.476308662	0.44192464	3.340634417	0.000835872	0.004072141	4	2	13	24	11	5	1	16	27	34	18	15	32	5	sp	Q4R6W9	SNPC1_MACFA	47.368	114	60	0	4	345	29	142	4.15E-26	104
g10208.t1	29.45045947	1.182636107	0.33610152	3.518687177	0.000433688	0.002348062	19	16	20	61	24	20	3	44	40	70	43	12	87	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10209.t1	255.9963672	0.549799455	0.226463463	2.42776229	0.015192297	0.044942415	210	195	293	420	212	162	146	451	236	453	340	134	448	135	sp	Q8R5C8	ZMY11_MOUSE	48.87	354	178	2	13	1074	4	354	6.67E-116	362
g10211.t1	121.9678769	0.939047794	0.239591003	3.919378361	8.88E-05	0.000624954	98	80	130	263	119	74	27	180	164	208	169	85	303	35	sp	Q5F450	PAN2_CHICK	53.188	1145	482	14	136	3483	58	1177	0	1187
g10212.t1	42.98356932	1.903520505	0.350701064	5.427757998	5.71E-08	1.03E-06	32	14	63	109	25	20	5	63	70	85	101	12	97	4	sp	Q9CZ28	SNF8_MOUSE	65.021	243	82	2	4	732	3	242	1.50E-107	313
g10216.t1	49.75165391	2.194480345	0.484835346	4.526238366	6.00E-06	6.07E-05	10	1	61	107	19	55	5	115	86	96	90	13	175	11	sp	P48758	CBR1_MOUSE	50.725	276	133	3	1	822	1	275	1.89E-90	280
g10216.t1	49.75165391	2.194480345	0.484835346	4.526238366	6.00E-06	6.07E-05	10	1	61	107	19	55	5	115	86	96	90	13	175	11	sp	P48758	CBR1_MOUSE	50.481	208	98	4	799	1413	1	206	4.53E-59	199
g10238.t1	37.10669149	-2.189461479	0.516245185	-4.241127163	2.22E-05	0.000188179	15	19	14	16	90	57	16	39	13	4	19	107	11	82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10251.t1	19.73725526	-1.447808275	0.5422042	-2.670226963	0.007579999	0.025733029	12	16	19	6	77	25	13	12	2	19	19	11	13	23	sp	O54749	CP2J5_MOUSE	40.204	490	285	6	31	1491	16	500	7.12E-114	348
g10265.t1	86.70070459	2.168329268	0.532111685	4.074951424	4.60E-05	0.000357058	78	38	123	183	32	13	7	126	164	112	316	24	202	2	sp	Q21281	MUP4_CAEEL	38.559	236	131	7	367	1062	392	617	2.28E-31	133
g10267.t1	681.8476995	-2.090142641	0.38978593	-5.36228345	8.22E-08	1.41E-06	987	1197	595	290	661	493	1040	315	231	151	326	1230	284	512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10268.t1	60.19963957	0.838378846	0.242203454	3.461465281	0.000537243	0.002802729	52	22	97	112	68	42	17	103	77	61	102	41	124	24	sp	F1QVR8	METL5_DANRE	69.712	208	60	2	1	624	1	205	1.27E-105	312
g10270.t1	200.6166356	-1.173533337	0.259292467	-4.525906023	6.01E-06	6.08E-05	188	228	137	166	221	164	257	211	120	106	124	277	221	212	sp	Q5ZI03	CIR1_CHICK	46.734	199	95	2	1	564	1	199	1.18E-56	197
g10273.t1	18.25423856	-3.973398951	0.855695948	-4.643470569	3.43E-06	3.74E-05	19	50	1	0	56	27	18	0	7	1	5	40	5	0	sp	P25107	PTH1R_DIDVI	46.97	132	62	3	1	378	362	491	1.51E-28	118
g10273.t2	78.7983877	-3.907987076	0.465886177	-8.388287244	4.93E-17	5.64E-15	215	265	15	12	90	96	62	13	7	9	13	129	17	21	sp	Q91085	VIPR_MELGA	38.25	400	178	13	169	1236	58	432	4.48E-78	257
g10277.t1	76.90608975	-0.885689004	0.319294775	-2.773891319	0.005539018	0.019771445	112	145	70	63	82	86	55	59	39	94	60	69	79	35	sp	Q0VA42	MINY4_XENTR	55.028	358	158	2	961	2034	392	746	4.02E-140	430
g10278.t1	202.8296997	-5.672065259	0.765584167	-7.408806898	1.27E-13	8.03E-12	36	696	4	8	31	36	595	6	13	7	16	155	14	330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10279.t1	4736.976274	-7.36927605	0.611797314	-12.04528996	2.05E-33	1.83E-30	1942	4728	69	15	1980	2434	15033	56	65	87	99	8678	99	10734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g1028.t1	340.920012	-1.663221483	0.373120134	-4.457603142	8.29E-06	8.02E-05	566	540	142	187	143	262	491	225	164	254	167	354	293	426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10280.t1	379.3441985	-1.104033857	0.261642679	-4.219624499	2.45E-05	0.000204885	504	546	437	258	290	339	349	320	214	229	239	525	384	409	sp	Q8C172	CERS6_MOUSE	48.495	299	154	0	7	903	2	300	1.13E-95	293
g10281.t1	3785.729193	-1.101126973	0.224493363	-4.904942218	9.35E-07	1.20E-05	3643	4025	2976	3350	5283	3066	4080	3449	3025	2332	2523	4658	3050	4515	sp	P61354	RL27_RAT	75.735	136	33	0	1	408	1	136	1.04E-72	216
g10284.t1	946.5028374	-0.954934439	0.249490188	-3.827543061	0.000129429	0.000859681	915	985	655	643	969	808	1076	971	755	1031	597	1282	889	981	sp	P35978	KINH_STRPU	71.23	935	178	7	1	2547	1	930	0	1242
g10285.t1	42.97755897	-2.456422838	0.82015825	-2.995059598	0.002743912	0.011018169	18	3	18	28	103	246	2	1	12	13	16	16	29	89	sp	P58557	YBEY_HUMAN	41.104	163	94	2	1	486	1	162	7.84E-44	145
g1029.t1	11.79000109	1.977455192	0.387435355	5.103961652	3.33E-07	4.80E-06	4	3	18	23	6	7	0	30	17	25	16	7	41	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10293.t1	263.8815713	-0.8199219	0.330623049	-2.479929642	0.013140831	0.040046046	225	245	165	280	231	226	271	297	254	66	260	306	377	380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10298.t1	49.96887684	-6.041679119	0.724019218	-8.344639161	7.14E-17	7.95E-15	22	72	5	0	50	37	76	0	0	3	1	179	4	126	sp	Q15485	FCN2_HUMAN	48.148	216	107	2	214	861	102	312	3.98E-62	202
g10299.t1	10808.97676	-4.710619357	0.331639049	-14.20405518	8.65E-46	3.54E-42	8900	21932	1129	700	16325	9376	13354	542	1221	776	955	27234	1586	22935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g1030.t1	18.86493607	1.410853325	0.576787928	2.446052104	0.014443013	0.043168771	5	10	26	50	21	24	0	34	42	8	38	3	44	4	sp	Q8NBN7	RDH13_HUMAN	57.6	125	51	1	28	396	46	170	5.53E-31	117
g10300.t1	201.4079647	-1.139709967	0.31031415	-3.67276183	0.000239943	0.001441701	164	215	174	186	384	269	171	197	169	36	141	276	195	173	sp	Q6PBA2	LS12A_DANRE	43.094	181	98	5	13	546	1	179	7.87E-41	139
g10304.t1	44.93221266	-2.840401517	0.833393508	-3.408235713	0.000653844	0.00329757	3	10	12	6	53	57	40	8	5	0	20	302	57	50	sp	Q60539	TCF15_MESAU	65.347	101	29	3	202	489	72	171	1.22E-32	119
g10305.t1	8.036021719	-1.787223146	0.669766225	-2.668428296	0.007620704	0.025836939	4	13	2	3	29	15	2	6	10	0	2	16	10	3	sp	Q96M86	DNHD1_HUMAN	23.506	1004	670	13	2320	5157	660	1623	1.08E-59	232
g10305.t1	8.036021719	-1.787223146	0.669766225	-2.668428296	0.007620704	0.025836939	4	13	2	3	29	15	2	6	10	0	2	16	10	3	sp	Q96M86	DNHD1_HUMAN	27.866	506	355	5	334	1848	93	589	4.92E-49	197
g10308.t1	40.39145055	2.255733954	0.303345247	7.436193505	1.04E-13	6.71E-12	5	12	63	89	25	17	5	77	67	102	68	8	119	13	sp	Q9H8W5	TRI45_HUMAN	24.274	482	311	10	109	1443	37	501	5.14E-26	117
g1031.t1	62.41913356	-2.964572708	0.540618188	-5.483671797	4.17E-08	7.78E-07	67	118	24	14	50	33	171	25	15	5	15	73	26	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10316.t1	3816.89014	-0.923126619	0.363315591	-2.540839541	0.011058666	0.034957064	6515	3824	3286	2821	1973	2415	4909	2797	2705	4547	2748	3384	3606	3864	sp	P05106	ITB3_HUMAN	46.07	369	186	6	1	1101	253	610	4.77E-101	320
g10317.t1	1350.755664	-0.947284677	0.371031665	-2.553110062	0.010676575	0.033995983	2324	1465	1229	1019	687	825	1798	1065	924	1415	993	1059	1242	1333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10318.t1	8727.10797	-1.565575126	0.412303454	-3.797142879	0.000146373	0.000952148	26997	14817	6283	4510	4404	7083	8142	4453	6029	4589	5417	6065	6489	6154	sp	B8JK39	ITA9_MOUSE	33.163	781	460	26	4	2235	41	796	2.03E-105	357
g10319.t1	233.3571444	0.645489091	0.252056335	2.560892158	0.010440376	0.033368452	275	119	337	280	254	148	55	345	298	436	320	172	443	105	sp	P16332	MUTA_MOUSE	73.628	747	194	2	1	2241	1	744	0	1168
g10320.t1	1270.875072	-3.117518412	0.465976517	-6.690290816	2.23E-11	9.10E-10	849	1536	510	180	800	1129	3157	420	350	205	249	2560	315	1686	sp	P00029	CYC_ASTRU	69.903	103	31	0	25	333	2	104	8.08E-52	161
g10321.t1	94.63226459	1.129148807	0.251174455	4.495476281	6.94E-06	6.88E-05	41	35	162	159	39	100	36	213	116	150	108	54	232	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10326.t1	5.305560699	-2.980528086	1.188992062	-2.506768702	0.012184041	0.037676663	0	0	1	2	39	13	0	0	2	0	2	10	4	4	sp	Q9Z340	PARD3_RAT	51.44	243	94	4	220	909	452	683	7.05E-62	221
g10338.t1	63.2724033	-2.176357329	0.403729571	-5.390631471	7.02E-08	1.23E-06	109	45	28	10	42	68	106	30	24	35	37	123	31	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g1034.t1	116.1991747	-2.954808876	0.527167569	-5.60506573	2.08E-08	4.17E-07	87	202	44	22	85	93	339	15	25	41	34	112	46	79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g1035.t1	85.60493703	-2.923648411	0.734571222	-3.980074801	6.89E-05	0.000506763	10	2	15	34	294	292	16	25	39	13	17	155	31	218	sp	Q9NYY3	PLK2_HUMAN	41.041	653	325	11	184	2094	68	676	3.86E-176	523
g10352.t1	7.137296703	-3.219218671	1.174008861	-2.742073571	0.006105267	0.021467006	0	0	0	5	8	11	18	3	3	0	0	4	1	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g1036.t1	64.7049103	1.912021456	0.416596882	4.589620181	4.44E-06	4.71E-05	35	20	158	129	10	63	2	109	98	90	135	27	171	16	sp	Q9NZ01	TECR_HUMAN	57.895	304	127	1	4	912	5	308	4.77E-124	360
g1037.t1	496.6460671	-2.321068722	0.703653468	-3.298596293	0.000971695	0.004618156	154	86	124	113	763	589	230	110	59	207	637	379	145	2550	sp	O89114	DNJB5_MOUSE	54.598	348	155	2	1	1041	1	346	7.86E-120	352
